Register	Address	Value1	Value2
PH9.AMP10L	025B	6D	92
PH9.AMP10U*	025C	25	1A
PH9.AMP11L	025D	6E	91
PH9.AMP11U*	025E	26	19
PH9.AMP12L	025F	6F	90
PH9.AMP12U*	0260	27	18
PH9.AMP13L	0261	70	8F
PH9.AMP13U*	0262	28	17
PH9.AMP14L	0263	71	8E
PH9.AMP14U*	0264	29	16
PH9.AMP15L	0265	72	8D
PH9.AMP15U*	0266	2A	15
PH9.AMP16L	0267	73	8C
PH9.AMP16U*	0268	2B	14
PH9.AMP17L	0269	74	8B
PH9.AMP17U*	026A	2C	13
PH9.AMP18L	026B	75	8A
PH9.AMP18U*	026C	2D	12
PH9.AMP19L	026D	76	89
PH9.AMP19U*	026E	2E	11
PH9.AMP20L	026F	77	88
PH9.AMP20U*	0270	2F	10
PH9.AMP21L	0271	78	87
PH9.AMP21U*	0272	30	0F
PH9.AMP22L	0273	79	86
PH9.AMP22U*	0274	31	0E
PH9.AMP23L	0275	7A	85
PH9.AMP23U*	0276	32	0D
PH9.AMP24L	0277	7B	84
PH9.AMP24U*	0278	33	0C
PH9.AMP25L	0279	7C	83
PH9.AMP25U*	027A	34	0B
PH9.AMP26L	027B	7D	82
PH9.AMP26U*	027C	35	0A
PH9.PG_TIMEOUT	027D	7E	81
---	027E	---	---
---	027F	---	---
PH10.CTL1*	0280	71	86
PH10.CTL2*	0281	36	09
PH10.STPA	0282	7F	80
PH10.STPB	0283	80	7F
PH10.STPC	0284	81	7E
PH10.OFST	0285	82	7D
PH10.DLYL	0286	83	7C
PH10.DLYU	0287	84	7B
PH10.CDIV	0288	85	7A
PH10.AMP1L	0289	86	79
PH10.AMP1U*	028A	37	08
PH10.AMP2L	028B	87	78
PH10.AMP2U*	028C	38	07
PH10.AMP3L	028D	88	77
PH10.AMP3U*	028E	39	06
PH10.AMP4L	028F	89	76
PH10.AMP4U*	0290	3A	05
PH10.AMP5L	0291	8A	75
PH10.AMP5U*	0292	3B	04
PH10.AMP6L	0293	8B	74
PH10.AMP6U*	0294	3C	03
PH10.AMP7L	0295	8C	73
PH10.AMP7U*	0296	3D	02
PH10.AMP8L	0297	8D	72
PH10.AMP8U*	0298	3E	01
PH10.AMP9L	0299	8E	71
PH10.AMP9U*	029A	01	3E
PH10.AMP10L	029B	8F	70
PH10.AMP10U*	029C	02	3D
PH10.AMP11L	029D	90	6F
PH10.AMP11U*	029E	03	3C
PH10.AMP12L	029F	91	6E
PH10.AMP12U*	02A0	04	3B
PH10.AMP13L	02A1	92	6D
PH10.AMP13U*	02A2	05	3A
PH10.AMP14L	02A3	93	6C
PH10.AMP14U*	02A4	06	39
PH10.AMP15L	02A5	94	6B
PH10.AMP15U*	02A6	07	38
